playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
crowde01,32,0,0,0,0,0,0,0,2,2,32,0,0,55,20,6,16,18,3.94,22,32,0,137,7,0,0,NULL,NULL,NULL,NULL
devivbe01,25,4,5,1,2,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,0,0,14,4,4,NULL,NULL,NULL,NULL
dickege02,226,36,101,12,54,4,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170,0,0,71,17,15,NULL,NULL,NULL,NULL
dillhpi01,247,59,134,16,48,12,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,225,0,0,212,38,22,NULL,NULL,NULL,NULL
donovfr01,3,1,1,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,87,2,1,1,NULL,NULL,NULL,NULL
downsda01,4,1,2,0,2,0,0,0,1,1,4,1,0,25,7,1,3,5,2.74,7,4,4,69,5,0,0,NULL,NULL,NULL,NULL
duffaji01,142,3,8,2,5,0,0,0,15,8,141,2,6,248,112,27,155,210,44.11000000000001,131,141,14,893,46,3,2,NULL,NULL,NULL,NULL
eibelha01,30,4,8,2,6,1,1,0,0,0,3,0,0,10,4,0,3,5,3.48,4,10,0,0,2,1,0,NULL,NULL,NULL,NULL
ellisge01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,NULL,NULL,NULL,NULL
englije01,7,0,0,0,0,0,0,0,0,0,7,0,0,10,3,0,2,4,3.86,3,7,0,21,0,0,0,NULL,400000,2010,NULL
erauted01,164,2,9,2,2,0,0,0,15,23,164,4,2,434,205,34,179,157,37.9,240,164,0,0,71,3,5,NULL,NULL,NULL,NULL
gomezch01,200,56,142,9,50,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,203,0,0,624,59,105,NULL,NULL,NULL,NULL
gomezma01,37,14,28,5,17,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,19,522,21,5,13,NULL,NULL,NULL,NULL
grantge01,1444,912,1508,292,712,132,53,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1383,0,0,2977,314,886,NULL,NULL,NULL,N
grasmlo01,2,0,1,0,0,0,0,0,0,0,2,0,0,3,4,1,8,2,7.2,4,2,0,0,1,0,0,NULL,NULL,NULL,NULL
greendi01,1288,427,960,145,422,26,20,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1238,1163,30262,3182,107,722,NULL,NULL,NULL,NULL
guerrma02,555,0,0,0,1,0,0,0,27,35,555,0,6,580,244,69,206,411,44.22,263,555,3,1869,91,2,2,NULL,4711499,2013,NULL
guevagi01,26,6,6,4,2,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,8,295,33,4,5,NULL,170000,1998,NULL
halebo01,376,41,171,29,89,0,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,87,2361,72,20,69,NULL,NULL,NULL,NULL
hamilto01,67,9,13,3,6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,0,0,2,0,1,NULL,NULL,NULL,NULL
